         17334 function calls (16969 primitive calls) in 25.060 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:1276(_check)
       33    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(det)
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:1572(format_pseudo)
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:78(format_pseudo)
        2    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/pseudo/__init__.py:61(load)
        2    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:919(make_bas_env)
      148    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/_internal.py:266(data_as)
        2    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/pseudo/parse_cp2k.py:35(load)
       18    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(triu)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:986(_find_and_load)
       48    0.000    0.000    0.001    0.000 {method 'sum' of 'numpy.ndarray' objects}
       25    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(vstack)
       14    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/re.py:289(_compile)
        2    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/symbols.py:11(string2symbols)
      224    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/_methods.py:39(_amax)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
       33    0.001    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/linalg/linalg.py:2085(det)
       11    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:1133(celldiff)
       18    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/lib/twodim_base.py:497(triu)
        3    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/sre_compile.py:759(compile)
        8    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(pinv)
        3    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/dft/kpoints.py:224(__init__)
        5    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(solve)
        2    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/formula.py:13(__init__)
